// Max 10 Battle Pass
//Requirement
0	
	//Index   ReqLevel   ReqReset   ReqMasterReset   AccountLevel
	0	  0          10          0                0
	1	  400        0          0                0
	2	  0          100        0                0
	3	  0          200        0                0
	4	  0          300        0                0
	5	  0          400        0                0
	6	  0          500        0                0
	7	  0          500        0                3
end

// Item List (Required 8 reward slots by index)
// ItemPos = Positve/Negative
// ItemSize = 1 to 10 (1 is bigger)
// Reward Type:
// 1: Item
// 2: Skin
// 3: Coins
1
	//Index   Slot   Value  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket  Duration   Name
	0 	  1      5      0         5          7          6670        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          1000          //Box +1
	0 	  2      5      0         5          7          6670        1       0     0       0      0        0       0       0     0     255       255       255       255       255       255          1000          //Box +2
	0 	  3      5      0         0          7          7179        8       0     0       0      0        0       0       0     0     255       255       255       255       255       255          1000          //Box +1
	0 	  4      5      0         5          8          6181        15      0     1       1      7       63       0       0     0     255       255       255       255       255       255          1000       //Box +3
	0 	  5      5      0         0          7          7179        10      0     0       0      0        0       0       0     0     255       255       255       255       255       255          1000          //Box +1
	0 	  6      5      0         0          7          7179        12      0     0       0      0        0       0       0     0     255       255       255       255       255       255          1000          //Box +2

	//Index   Slot   Value  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket   Duration   Name
	1 	  1      1      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+10
	1 	  2      2      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+20
	1 	  3      3      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+30
	1 	  4      4      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+10
	1 	  5      5      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+20
	1 	  6      6      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+30
    	1 	  7      7      0         0          7          7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+10
	1 	  8      8      0         0          7          7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+20

	//Index   Slot   Value  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket   Duration   Name
	2 	  1      5      0         0          7          7190        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+10
	2 	  2      5      0         0          7          7190        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+20
	2 	  3      5      0         0          7          7190        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Bless+30
	2 	  4      5      0         0          7          7190        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+10
	2 	  5      5      0         0          7          7190        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+20
	2 	  6      5      0         0          7          7190        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Soul+30
    	2 	  7      5      0         0          7          7190        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+10
	2 	  8      5      0         0          7          7190        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          //Bundled Jewel of Creation+20

