//=================================================================================================================
// Custom Auto Quiz System
//=================================================================================================================
0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     *      35       0
end

1
//Index   Name                       AlarmTime   EventTime
0         "Quiz"                     3           3
end


//=================================================================================================================
// Questions
//=================================================================================================================
//  ID   WC   WP   GP   Question                        Answer
//=================================================================================================================
2
  0    10   0    0    "What is the server website?"     "hexmu.com"
  1    10   0    0    "What is 10+2x2?"                 "14"
  2    10   0    0    "What is the capital of France?"  "paris"
  3    10   0    0    "What is the largest planet?"     "jupiter"
  4    10   0    0    "What is the fastest land animal?" "cheetah"
  5    10   0    0    "Who painted the Mona Lisa?"      "davinci"
  6    10   0    0    "What is 2+2?"                    "4"
  7    10   0    0    "What is the opposite of hot?"    "cold"
  8    10   0    0    "What is the color of the sky?"   "blue"
  9    10   0    0    "Who discovered gravity?"         "newton"
  10   10   0    0    "What ocean is between USA and Europe?" "atlantic"
  11   10   0    0    "What is the currency of Japan?"  "yen"
  12   10   0    0    "What is the smallest prime number?" "2"
  13   10   0    0    "Which planet has rings?"         "saturn"
  14   10   0    0    "What is the largest mammal?"     "whale"
  15   10   0    0    "Who is the king of pop?"         "jackson"
  16   10   0    0    "What shape has 3 sides?"         "triangle"
  17   10   0    0    "At what temperature does water freeze?" "0"
  18   10   0    0    "Who wrote Hamlet?"               "shakespeare"
  19   10   0    0    "What gas do we breathe?"         "oxygen"
  20   10   0    0    "What is H2O?"                    "water"
  21   10   0    0    "What is the fastest bird?"       "falcon"
  22   10   0    0    "What is the capital of UK?"      "london"
  23   10   0    0    "How many continents are there?"  "7"
  24   10   0    0    "What is the biggest ocean?"      "pacific"
  25   10   0    0    "What is the sun?"                "star"
  26   10   0    0    "What is the Roman numeral for 10?" "x"
  27   10   0    0    "What is the largest desert?"     "sahara"
  28   10   0    0    "Who invented the lightbulb?"     "edison"
  29   10   0    0    "What is Earth's satellite?"      "moon"
  30   10   0    0    "Who created Ethereum?"     	"vitalik"
  31   10   0    0    "What is the capital of Italy?"   "rome"
  32   10   0    0    "What color is red+blue?"         "purple"
  33   10   0    0    "What is the largest country?"    "russia"
  34   10   0    0    "What is the smallest country?"   "vatican"
  35   10   0    0    "What is the opposite of day?"    "night"
  36   10   0    0    "What is the tallest mountain?"   "everest"
  37   10   0    0    "What is the brain of computer?"  "cpu"
  38   10   0    0    "Which planet is the red planet?" "mars"
  39   10   0    0    "How many seconds in a minute?" 	"60"
  40   10   0    0    "Who wrote Harry Potter?"         "rowling"
  41   10   0    0    "What bird cannot fly?"           "ostrich"
  42   10   0    0    "What is the fastest vehicle?"    "rocket"
  43   10   0    0    "What organ pumps blood?"         "heart"
