0
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     6      0        0
*        *       *     *     14     0        0
*        *       *     *     22     0        0
end

1
//Group   ObeliskMap    ObeliskMapX   ObeliskMapY   ObeliskLife
0	  92            89            41            500000
1	  92            188           101           500000
2         96            162           54            500000
end

2
//Index   Group   SpawnMinute
0	  0	  0
0	  1	  2
1	  0	  0
1	  1	  2
2	  0	  0
2	  1	  2
end

3
//Index   Group   Class   Count   MapX    MapY    Dis
0         0       632     5       84      36      10
0         0       633     5       84      37      10
0         0       634     5       84      38      10
0         0       635     5       85      36      10
0         0       636     5       86      36      10
0         1       637     5       87      37      10
0         1       638     5       88      36      10
0         1       639     5       87      35      10
0         1       640     5       85      38      10
0         1       641     5       86      35      10
1         0       632     5       183     96      10
1         0       633     5       181     96      10
1         0       634     5       182     96      10
1         0       635     5       184     96      10
1         0       636     5       183     95      10
1         1       637     5       183     96      10
1         1       638     5       183     97      10
1         1       639     5       183     98      10
1         1       640     5       181     95      10
1         1       641     5       181     97      10
2         0       632     5       156     49      10
2         0       633     5       157     45      10
2         0       634     5       158     49      10
2         0       635     5       159     49      10
2         0       636     5       157     45      10
2         1       637     5       157     46      10
2         1       638     5       157     47      10
2         1       639     5       156     48      10
2         1       640     5       156     45      10
2         1       641     5       156     44      10
end
