// ItemDropType
// *: All Drop
// 0: Disable All drop
// 1: Money drop
// 2: Common drop
// 4: ItemDrop.txt
// 8: EventItemBag Drop

//Index   NonPK   ViewRange   ExperienceRate   ItemDropType   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	CustomAttack	CustomStore 	CustomPick	CommandHelper	CommandOffPvP	PkDropItem	AllowTrade	GuildWar	MarryCommands	AccountLevel	CashShop	StartGate	DeathGate   ShowInfo   KillMessage   	Comment
0         *       12          100              *              100            1000              0                 0                1              0             1            	1		1		1		1		1		1		1		0		0		1		*		17          1          0		"Lorencia"
1         *       12          100              *              100            1000              0                 0                1              0             1            	0		1		1		1		1		1		1		0		0		1		*		17          1          0		"Dungeon"
2         *       12          100              *              100            1000              0                 0                1              0            	1            	1		1		0		0		1		1		1		0		0		1		*		22          1          0		"Devias"
3         *       12          100              *              100            1000              0                 0                1              0           	1            	1		1		0		0		1		1		1		0		0		1		*		27          0          0		"Noria"
4         *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		1		*		42          0          0		"Lost Tower"
6         *       10          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		1		*		115         0          0		"Arena"
7         *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		1		*		49          0          0		"Atlans"
8         *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		1		*		57          0          0		"Tarkan"
9         *       10          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		27		27          0          0		"Devil Square 1"
10        *       12          100              *              100            1000              0                 0                1              0            	1            	0		1		0		0		1		1		1		0		0		0		*		42          0          0		"Icarus"
11        *       10          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Blood Castle 1"
12        *       10          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Blood Castle 2"
13        *       10          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Blood Castle 3"
14        *       10          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Blood Castle 4"
15        *       10          100              *              100            1000              0                 0                1              0            	0            	0		0		0		0		0		1		1		0		0		0		22		22          0          0		"Blood Castle 5"
