//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//Monster      MapNumber      	Range      	PositionX      	PositionY	Direction      	Comment
257		3		0		167		118		1		// Shadow Phantom Soldier
257		3		0		166		85		2		// Shadow Phantom Soldier
257		3		0		200		128		2       	// Shadow Phantom Soldier
237		3		0		171		108		3       	// Devil Square
240		3		0		172		96		3       	// Storage
242		3		0		173		125		1       	// Elf Lala
243		3		0		195		124		2       	// Eo CraftsMan 
238		3		0		180		103		1       	// Chaos Goblin
544		3		0		166		99		3		// Gens Vanert
451		3		0		179		129		3       	// Blossoms Tree
450		3		0		182		125		1       	// Cherry Blossom Spirit

580     	3       	0		196		113		2		// Captain Slough (Acheron Entrance NPC)   
//584		3		0		183		126		2       	// Sir.Lesnar (Acheron Guardian Entrance NPC )
end


//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================

1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
003            03             30         139            063            247          164          -1             60            //Spider
026            03             30         109            046            154          181          -1             10            //Goblin
026            03             30         136            156            247          204          -1             10            //Goblin
026            03             30         135            042            247          073          -1             10            //Goblin
027            03             30         109            046            154          181          -1             20            //Chain Scorpion
027            03             30         135            042            247          073          -1             20            //Chain Scorpion
027            03             30         136            156            247          204          -1             20            //Chain Scorpion
033            03             30         106            003            247          040          -1             20            //Elite Goblin
033            03             30         059            006            128          106          -1             20            //Elite Goblin
028            03             30         106            003            247          040          -1             20            //Beetle Monster
028            03             30         059            006            128          106          -1             20            //Beetle Monster
029            03             30         106            003            247          040          -1             20            //Hunter
029            03             30         059            006            128          106          -1             20            //Hunter
030            03             30         007            004            063          176          -1             10            //Forest Monster
030            03             30         041            107            107          181          -1             10            //Forest Monster
030            03             30         105            184            247          246          -1             10            //Forest Monster
031            03             30         007            004            063          176          -1             20            //Agon
031            03             30         041            107            107          181          -1             20            //Agon
031            03             30         105            184            247          246          -1             20            //Agon
032            03             30         004            168            115          248          -1             40            //Stone Golem

026            03             30         148            66             150          68           -1             7             //Goblin
027            03             30         175            72             177          74           -1             7             //Chain Scorpion
028            03             30         147            106            149          108          -1             7             //Beetle Monster
029            03             30         144            130            146          132          -1             7             //Hunter Goblin
032            03             30         218            137            220          139          -1             7             //Stone Golem
033            03             30         195            155            197          158          -1             7             //Elite Goblin
end
