//=========================================================================================================================================
// SPOTS
//=========================================================================================================================================
1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
069            10             6          11             39             13           41           -1             7             //Alquamos
069            10             6          57             24             59           26           -1             7             //Alquamos
071            10             6          88             31             90           33           -1             7             //Mega Crust
071            10             6          94             69             96           71           -1             7             //Mega Crust
070            10             6          84             84             86           86           -1             7             //Queen Rainier
070            10             6          60             84             62           86           -1             7             //Queen Rainier
073            10             6          26             66             28           68           -1             7             //Drakan
073            10             6          41             82             43           84           -1             7             //Drakan
074            10             6          27             100            29           102          -1             7             //Alpha Crust
072            10             6          51             121            53           123          -1             7             //Phantom Knight
072            10             6          58             156            60           158          -1             7             //Phantom Knight
075            10             6          55             199            57           201          -1             7             //Great Drakan
075            10             6          41             173            43           175          -1             7             //Great Drakan

077            10             6          37             227            39           229          -1             4             //Phoenix of Darkness
end
//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
070            10             30         066            068            -1             //Queen Rainier
070            10             30         085            088            -1             //Queen Rainier
070            10             30         080            076            -1             //Queen Rainier
073            10             30         045            072            -1             //Drakan
072            10             30         041            113            -1             //Phantom Knight
072            10             30         042            135            -1             //Phantom Knight
074            10             30         029            104            -1             //Alpha Crust
074            10             30         038            103            -1             //Alpha Crust
074            10             30         035            094            -1             //Alpha Crust
074            10             30         032            087            -1             //Alpha Crust
073            10             30         035            069            -1             //Drakan
073            10             30         026            074            -1             //Drakan
073            10             30         036            079            -1             //Drakan
074            10             30         039            085            -1             //Alpha Crust
072            10             30         051            126            -1             //Phantom Knight
071            10             30         088            070            -1             //Mega Crust
072            10             30         053            138            -1             //Phantom Knight
072            10             30         044            148            -1             //Phantom Knight
072            10             30         033            119            -1             //Phantom Knight
074            10             30         033            111            -1             //Alpha Crust
071            10             30         084            047            -1             //Mega Crust
071            10             30         079            033            -1             //Mega Crust
071            10             30         058            042            -1             //Mega Crust
070            10             30         089            038            -1             //Queen Rainier
071            10             30         070            043            -1             //Mega Crust
071            10             30         064            030            -1             //Mega Crust
071            10             30         053            027            -1             //Mega Crust
070            10             30         091            059            -1             //Queen Rainier
072            10             30         041            157            -1             //Phantom Knight
069            10             30         044            027            -1             //Alquamos
069            10             30         012            027            -1             //Alquamos
069            10             30         013            038            -1             //Alquamos
069            10             30         048            040            -1             //Alquamos
072            10             30         042            122            -1             //Phantom Knight
069            10             30         028            028            -1             //Alquamos
071            10             30         093            047            -1             //Mega Crust
072            10             30         053            150            -1             //Phantom Knight
075            10             30         050            162            -1             //Great Drakan
075            10             30         052            174            -1             //Great Drakan
075            10             30         055            181            -1             //Great Drakan
075            10             30         044            212            -1             //Great Drakan
072            10             30         038            216            -1             //Phantom Knight
075            10             30         047            189            -1             //Great Drakan
075            10             30         059            190            -1             //Great Drakan
075            10             30         048            200            -1             //Great Drakan
075            10             30         057            200            -1             //Great Drakan
075            10             30         027            220            -1             //Great Drakan
069            10             30         066            037            -1             //Alquamos
069            10             30         080            041            -1             //Alquamos
075            10             30         043            238            -1             //Great Drakan
072            10             30         044            221            -1             //Phantom Knight
069            10             30         040            034            -1             //Alquamos
069            10             30         031            037            -1             //Alquamos
069            10             30         018            031            -1             //Alquamos
071            10             30         057            034            -1             //Mega Crust
071            10             30         071            033            -1             //Mega Crust
072            10             30         036            226            -1             //Phantom Knight
075            10             30         048            228            -1             //Great Drakan
070            10             30         084            036            -1             //Queen Rainier
070            10             30         090            048            -1             //Queen Rainier
070            10             30         095            056            -1             //Queen Rainier
070            10             30         074            084            -1             //Queen Rainier
070            10             30         074            072            -1             //Queen Rainier
070            10             30         057            071            -1             //Queen Rainier
073            10             30         028            067            -1             //Drakan
071            10             30         050            033            -1             //Mega Crust
071            10             30         059            027            -1             //Mega Crust
071            10             30         074            038            -1             //Mega Crust
069            10             30         036            029            -1             //Alquamos
069            10             30         037            041            -1             //Alquamos
069            10             30         026            041            -1             //Alquamos
069            10             30         021            024            -1             //Alquamos
075            10             30         032            231            -1             //Great Drakan
075            10             30         045            173            -1             //Great Drakan
075            10             30         059            163            -1             //Great Drakan
075            10             30         052            168            -1             //Great Drakan
069            10             30         021            036            -1             //Alquamos
070            10             30         064            084            -1             //Queen Rainier
070            10             30         069            077            -1             //Queen Rainier
end
