//=========================================================================================================================================
// NPC
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment			
581	       91	      00	 029	        210	       02             //Deruvish
582	       91	      00	 038	        216	       02             //Adniel
583	       91	      00	 056	        202	       02             //Jin
240	       91	      00	 050	        184	       03             //Safety Guardian
240	       91	      00	 058	        214	       03             //Safety Guardian
546	       91	      00	 063	        218	       02	      // Rau
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
586            91             30         152            137            158          143          -1             1             //Devilfairy
586            91             30         155            135            159          146          -1             1             //Devilfairy
586            91             30         152            145            157          151          -1             1             //Devilfairy
586            91             30         157            146            162          153          -1             1             //Devilfairy
586            91             30         47             134            52           139          -1             1             //Devilfairy
586            91             30         50             131            57           137          -1             1             //Devilfairy
586            91             30         52             138            60           143          -1             1             //Devilfairy
586            91             30         57             131            65           140          -1             1             //Devilfairy
586            91             30         31             115            37           121          -1             1             //Devilfairy
586            91             30         31             109            37           115          -1             1             //Devilfairy
586            91             30         34             107            46           113          -1             1             //Devilfairy
587            91             30         37             112            47           119          -1             1             //Elemental Beast
587            91             30         47             109            55           114          -1             1             //Elemental Beast
586            91             30         24             81             31           87           -1             1             //Devilfairy
586            91             30         28             78             35           86           -1             1             //Devilfairy
587            91             30         41             86             48           91           -1             1             //Elemental Beast
587            91             30         31             87             40           93           -1             1             //Elemental Beast
587            91             30         35             79             43           90           -1             1             //Elemental Beast
587            91             30         44             81             51           88           -1             1             //Elemental Beast
586            91             30         151            71             159          76           -1             1             //Devilfairy
586            91             30         150            64             156          74           -1             1             //Devilfairy
586            91             30         161            61             167          70           -1             1             //Devilfairy
587            91             30         154            60             165          68           -1             3             //Elemental Beast
587            91             30         157            68             164          74           -1             1             //Elemental Beast
586            91             30         20             36             25           42           -1             3             //Devilfairy
586            91             30         13             29             22           37           -1             1             //Devilfairy
586            91             30         19             12             26           19           -1             3             //Devilfairy
587            91             30         9              24             18           32           -1             1             //Elemental Beast
587            91             30         17             15             28           22           -1             1             //Elemental Beast
588            91             30         11             19             23           26           -1             1             //Elemental Knight
587            91             30         138            8              144          14           -1             1             //Elemental Beast
587            91             30         141            14             149          18           -1             1             //Elemental Beast
588            91             30         141            6              147          12           -1             1             //Elemental Knight
588            91             30         147            8              152          16           -1             1             //Elemental Knight
587            91             30         167            37             175          43           -1             1             //Elemental Beast
587            91             30         171            35             176          45           -1             1             //Elemental Beast
587            91             30         175            32             182          41           -1             1             //Elemental Beast
588            91             30         169            43             177          49           -1             1             //Elemental Knight
588            91             30         208            20             215          25           -1             1             //Elemental Knight
588            91             30         216            21             222          27           -1             1             //Elemental Knight
588            91             30         219            10             224          18           -1             1             //Elemental Knight
587            91             30         215            18             225          24           -1             1             //Elemental Beast
587            91             30         225            23             233          28           -1             1             //Elemental Beast
587            91             30         225            14             230          20           -1             1             //Elemental Beast
587            91             30         230            17             235          25           -1             1             //Elemental Beast
586            91             30         107            154            113          160          -1             1             //Devilfairy
586            91             30         109            161            115          167          -1             1             //Devilfairy
586            91             30         114            154            121          159          -1             1             //Devilfairy
586            91             30         115            160            124          165          -1             1             //Devilfairy
586            91             30         97             144            105          150          -1             1             //Devilfairy
586            91             30         105            141            112          148          -1             1             //Devilfairy
586            91             30         104            134            109          143          -1             1             //Devilfairy
586            91             30         110            130            116          138          -1             1             //Devilfairy
586            91             30         122            119            128          125          -1             1             //Devilfairy
586            91             30         117            125            125          130          -1             1             //Devilfairy
587            91             30         108            124            118          133          -1             1             //Elemental Beast
587            91             30         108            124            118          133          -1             1             //Elemental Beast
586            91             30         124            152            131          160          -1             1             //Devilfairy
586            91             30         131            146            139          153          -1             1             //Devilfairy
586            91             30         134            140            141          147          -1             1             //Devilfairy
586            91             30         139            125            144          138          -1             1             //Devilfairy
587            91             30         139            148            147          154          -1             1             //Elemental Beast
587            91             30         132            84             140          93           -1             1             //Elemental Beast
586            91             30         137            95             142          103          -1             1             //Devilfairy
586            91             30         140            105            148          110          -1             1             //Devilfairy
586            91             30         138            114            146          121          -1             1             //Devilfairy
586            91             30         143            112            150          126          -1             1             //Devilfairy
586            91             30         62             118            67           125          -1             1             //Devilfairy
586            91             30         58             112            66           121          -1             1             //Devilfairy
586            91             30         62             102            68           107          -1             1             //Devilfairy
587            91             30         58             106            66           116          -1             1             //Elemental Beast
587            91             30         71             120            78           125          -1             1             //Elemental Beast
587            91             30         81             136            86           145          -1             1             //Elemental Beast
586            91             30         77             119            87           126          -1             1             //Devilfairy
586            91             30         79             127            89           132          -1             1             //Devilfairy
586            91             30         80             132            87           138          -1             1             //Devilfairy
586            91             30         87             145            95           148          -1             1             //Devilfairy
586            91             30         87             118            97           122          -1             1             //Devilfairy
587            91             30         95             113            106          119          -1             3             //Elemental Beast
588            91             30         105            110            109          122          -1             1             //Elemental Knight
586            91             30         106            102            113          110          -1             3             //Devilfairy
586            91             30         100            88             107          94           -1             3             //Devilfairy
587            91             30         106            94             113          102          -1             1             //Elemental Beast
587            91             30         88             81             97           85           -1             1             //Elemental Beast
587            91             30         68             71             75           77           -1             1             //Elemental Beast
587            91             30         53             74             58           79           -1             1             //Elemental Beast
587            91             30         57             64             63           71           -1             1             //Elemental Beast
587            91             30         155            27             160          32           -1             1             //Elemental Beast
587            91             30         171            7              176          12           -1             1             //Elemental Beast
587            91             30         169            19             176          24           -1             1             //Elemental Beast
587            91             30         185            16             190          23           -1             1             //Elemental Beast
587            91             30         195            26             202          31           -1             1             //Elemental Beast
588            91             30         176            17             184          22           -1             1             //Elemental Knight
588            91             30         163            24             168          28           -1             1             //Elemental Knight
588            91             30         63             64             72           73           -1             1             //Elemental Knight
588            91             30         83             83             91           87           -1             1             //Elemental Knight
588            91             30         41             52             49           64           -1             1             //Elemental Knight
588            91             30         34             38             41           48           -1             1             //Elemental Knight
588            91             30         43             18             50           28           -1             1             //Elemental Knight
587            91             30         50             19             55           32           -1             1             //Elemental Beast
587            91             30         39             28             47           38           -1             1             //Elemental Beast
587            91             30         42             43             49           52           -1             1             //Elemental Beast
587            91             30         50             34             59           41           -1             1             //Elemental Beast
586            91             30         43             39             54           47           -1             1             //Devilfairy
586            91             30         35             52             42           62           -1             1             //Devilfairy
586            91             30         64             35             74           44           -1             1             //Devilfairy
586            91             30         70             46             79           54           -1             1             //Devilfairy
586            91             30         81             54             90           64           -1             1             //Devilfairy
586            91             30         104            28             113          38           -1             1             //Devilfairy
586            91             30         105            73             113          80           -1             1             //Devilfairy
586            91             30         115            76             126          83           -1             1             //Devilfairy
586            91             30         130            59             136          69           -1             1             //Devilfairy
586            91             30         139            39             146          47           -1             1             //Devilfairy
586            91             30         124            24             134          32           -1             1             //Devilfairy
587            91             30         129            41             137          52           -1             1             //Elemental Beast
587            91             30         114            65             124          72           -1             1             //Elemental Beast
587            91             30         96             55             106          63           -1             1             //Elemental Beast
587            91             30         74             20             83           28           -1             1             //Elemental Beast
587            91             30         80             36             93           45           -1             1             //Elemental Beast
588            91             30         133            32             144          42           -1             1             //Elemental Knight
588            91             30         125            71             134          80           -1             1             //Elemental Knight
588            91             30         98             40             108          47           -1             1             //Elemental Knight
588            91             30         85             18             95           30           -1             1             //Elemental Knight
592            91             30         75             30             108          47           -1             3             //Undine
593            91             30         122            29             142          39           -1             3             //Salamander
588            91             30         107            67             124          80           -1             3             //Elemental Knight
589            91             30         183            145            190          151          -1             1             //Ubaid Devilfairy
589            91             30         184            152            191          158          -1             1             //Ubaid Devilfairy
589            91             30         191            147            197          155          -1             1             //Ubaid Devilfairy
589            91             30         190            156            195          162          -1             1             //Ubaid Devilfairy
589            91             30         236            224            242          229          -1             1             //Ubaid Devilfairy
589            91             30         242            226            247          235          -1             1             //Ubaid Devilfairy
589            91             30         233            230            239          235          -1             1             //Ubaid Devilfairy
589            91             30         240            231            246          237          -1             1             //Ubaid Devilfairy
589            91             30         235            201            240          207          -1             1             //Ubaid Devilfairy
589            91             30         232            209            238          215          -1             1             //Ubaid Devilfairy
589            91             30         242            204            248          209          -1             1             //Ubaid Devilfairy
