//Index   Name                    RequireMoney   MinLevel   MaxLevel   MinReset   MaxReset   MinMasterReset   MaxMasterReset   AccountLevel   Gate
1         "Arena"                 10000          50         1000       *          *          *                *                0              50
2         "Lorencia"              10000          10         1000       *          *          *                *                0              17
3         "Noria"                 10000          10         1000       *          *          *                *                0              27
31        "Elbeland"              10000          10         1000       *          *          *                *                0              267
32        "Elbeland2"             10000          10         1000       *          *          *                *                0              268
43        "Elbeland3"             10000          10         1000       *          *          *                *                0              269
4         "Devias"                10000          20         1000       *          *          *                *                0              22
5         "Devias2"               10000          20         1000       *          *          *                *                0              72
6         "Devias3"               10000          20         1000       *          *          *                *                0              73
7         "Devias4"               10000          20         1000       *          *          *                *                0              74
8         "Dungeon"               10000          30         1000       *          *          *                *                0              2
9         "Dungeon2"              10000          40         1000       *          *          *                *                0              6
10        "Dungeon3"              10000          50         1000       *          *          *                *                0              10
11        "Atlans"                10000          70         1000       *          *          *                *                0              49
12        "Atlans2"               10000          80         1000       *          *          *                *                0              75
13        "Atlans3"               10000          90         1000       *          *          *                *                0              76
14        "LostTower"             10000          50         1000       *          *          *                *                0              42
15        "LostTower2"            10000          50         1000       *          *          *                *                0              31
16        "LostTower3"            10000          50         1000       *          *          *                *                0              33
17        "LostTower4"            10000          60         1000       *          *          *                *                0              35
18        "LostTower5"            10000          60         1000       *          *          *                *                0              37
19        "LostTower6"            10000          70         1000       *          *          *                *                0              39
20        "LostTower7"            10000          70         1000       *          *          *                *                0              41
21        "Tarkan"                10000          140        1000       *          *          *                *                0              57
22        "Tarkan2"               10000          140        1000       *          *          *                *                0              77
25        "Aida1"                 10000          150        1000       *          *          *                *                0              119
27        "Aida2"                 10000          150        1000       *          *          *                *                0              140
23        "Icarus"                10000          170        1000       *          *          *                *                0              63
26        "Crywolf"               10000          10         1000       *          *          *                *                0              118
28        "Kanturu_ruin1"         10000          160        1000       *          *          *                *                0              138
29        "Kanturu_ruin2"         10000          160        1000       *          *          *                *                0              141
45        "Kanturu_ruin_island"   10000          160        1000       *          *          *                *                0              334
30        "Kanturu_Remain"        10000          230        1000       *          *          *                *                0              139
46        "Karutan1"              10000          170        1000       *          *          *                *                0              335
47        "Karutan2"              10000          170        1000       *          *          *                *                0              344
34        "Raklion"               10000          280        1000       *          *          *                *                0              287
33        "Swamp_of_Calmness"     10000          400        1000       *          *          *                *                0              273
42        "Vulcanus"              10000          30         1000       *          *          *                *                0              294
48        "LorenMarket"           10000          10         1000       *          *          *                *                0              333
52        "LorenDeep"             10000          150        1000       *          *          *                *                0              106
53        "Barracks"              10000          300        1000       *          *          *                *                0              256
54        "Survivor"              10000          0          1000       *          *          *                *                0              450
55        "DMxDM"                 10000          0          1000       *          *          *                *                0              451
56        "GMxGM"                 10000          0          1000       *          *          *                *                0              452
57        "BKxBK"                 10000          0          1000       *          *          *                *                0              453
58        "FMxFM"                 10000          0          1000       *          *          *                *                0              454
59        "LExLE"                 10000          0          1000       *          *          *                *                0              455
60        "ELFxELF"               10000          0          1000       *          *          *                *                0              456
61        "SUMxSUM"               10000          0          1000       *          *          *                *                0              457
end
