//MinReset   MaxReset   Level_AL0   Level_AL1   Level_AL2   Level_AL3   Money_AL0   Money_AL1   Money_AL2   Money_AL3   Point_AL0   Point_AL1   Point_AL2   Point_AL3
0           1       	400         400         400         400         1000000     1000000     1000000     1000000     *           *           *           *
1           2       	400         400         400         400         2000000     2000000     2000000     2000000     *           *           *           *
2           3       	400         400         400         400         3000000     3000000     3000000     3000000     *           *           *           *
3           4       	400         400         400         400         4000000     4000000     4000000     4000000     *           *           *           *
4           5       	400         400         400         400         5000000     5000000     5000000     5000000     *           *           *           *
5           6       	400         400         400         400         6000000     6000000     6000000     6000000     *           *           *           *
6           7       	400         400         400         400         7000000     7000000     7000000     7000000     *           *           *           *
7           8       	400         400         400         400         8000000     8000000     8000000     8000000     *           *           *           *
8           9       	400         400         400         400         9000000     9000000     9000000     9000000     *           *           *           *
9           10       	400         400         400         400         10000000    10000000    10000000    10000000    *           *           *           *
10          1000        400         400         400         400         10000000    10000000    10000000    10000000    *           *           *           *
end
